date,category,amount,merchant,payment_method
2024-01-01,Education,3019.02,Local Tuition Center,Net Banking
2024-01-05,Rent,15011.54,Landlord - Monthly Rent,Net Banking
2024-01-07,Entertainment,472.83,Spotify,UPI
2024-01-11,Groceries,2630.69,Local Kirana Store,UPI
2024-01-13,Healthcare,4025.16,Apollo Pharmacy,UPI
2024-01-20,Entertainment,888.34,Spotify,UPI
2024-01-22,Dining,1325.94,Swiggy,Debit Card
2024-01-24,Education,867.96,Coursera,Debit Card
2024-01-26,Rent,12882.89,Landlord - Monthly Rent,Cash
2024-02-03,Miscellaneous,778.43,Salon,Debit Card
2024-02-05,Shopping,4505.46,Local Mall Store,Cash
2024-02-08,Rent,16546.68,Landlord - Monthly Rent,Net Banking
2024-02-09,Entertainment,149.01,BookMyShow,Cash
2024-02-12,Transport,1133.08,Local Bus,Cash
2024-02-13,Groceries,2434.63,DMart,Net Banking
2024-02-14,Miscellaneous,1399.17,Gift Purchase,Credit Card
2024-02-17,Rent,15195.87,Landlord - Monthly Rent,Debit Card
2024-02-24,Miscellaneous,599.76,Salon,Credit Card
2024-03-08,Groceries,1945.59,DMart,Debit Card
2024-03-08,Shopping,4399.62,Local Mall Store,Credit Card
2024-03-08,Entertainment,950.04,BookMyShow,Credit Card
2024-03-09,Rent,16230.42,Landlord - Monthly Rent,Debit Card
2024-03-12,Utilities,2107.72,Jio Fiber,Debit Card
2024-03-13,Groceries,1982.55,More Supermarket,Credit Card
2024-03-13,Groceries,1669.22,Local Kirana Store,Credit Card
2024-03-16,Transport,701.78,Uber,Credit Card
2024-03-24,Miscellaneous,1887.26,Salon,Credit Card
2024-04-02,Entertainment,108.53,Amazon Prime Video,Debit Card
2024-04-02,Entertainment,794.07,Netflix,Net Banking
2024-04-13,Transport,1099.55,Uber,Cash
2024-04-17,Miscellaneous,1830.36,ATM Withdrawal,Debit Card
2024-04-20,Groceries,399.75,DMart,Net Banking
2024-04-22,Healthcare,2704.67,Practo,Net Banking
2024-04-29,Groceries,648.57,DMart,Credit Card
2024-05-03,Dining,1442.03,Zomato,Debit Card
2024-05-04,Healthcare,2458.61,Apollo Pharmacy,Net Banking
2024-05-10,Entertainment,308.64,Amazon Prime Video,Cash
2024-05-11,Dining,1416.79,Domino's Pizza,UPI
2024-05-17,Miscellaneous,103.52,Gift Purchase,Credit Card
2024-05-22,Healthcare,3077.26,MedPlus,UPI
2024-05-29,Healthcare,2026.73,Apollo Pharmacy,Cash
2024-05-31,Rent,12880.26,Landlord - Monthly Rent,Net Banking
2024-06-01,Shopping,2720.37,Amazon,Net Banking
2024-06-16,Rent,12237.77,Landlord - Monthly Rent,UPI
2024-06-24,Shopping,4638.18,Flipkart,Cash
2024-07-02,Entertainment,321.0,Netflix,Net Banking
2024-07-04,Groceries,2707.71,Local Kirana Store,UPI
2024-07-04,Entertainment,716.1,Netflix,Cash
2024-07-08,Rent,12874.08,Landlord - Monthly Rent,UPI
